1:0 = Stone =  Stone (#0001)
44:6 = Nether Brick Slab =  Nether Brick Slab (#0044/6)
44:7 = Quartz Slab =  Quartz Slab (#0044/7)
45:0 = Bricks =  Bricks (#0045)
46:0 = TNT =  TNT (#0046)
47:0 = Bookshelf =  Bookshelf (#0047)
48:0 = Moss Stone =  Moss Stone (#0048)
49:0 = Obsidian =  Obsidian (#0049)
50:0 = Torch =  Torch (#0050)
53:0 = Oak Wood Stairs =  Oak Wood Stairs (#0053)
54:0 = Chest =  Chest (#0054)
56:0 = Diamond Ore =  Diamond Ore (#0056)
57:0 = Block of Diamond =  Block of Diamond (#0057)
58:0 = Crafting Table =  Crafting Table (#0058)
61:0 = Furnace =  Furnace (#0061)
65:0 = Ladder =  Ladder (#0065)
66:0 = Track =  Track (#0066)
67:0 = Stone Stairs =  Stone Stairs (#0067)
69:0 = Lever =  Lever (#0069)
70:0 = Pressure Plate =  Pressure Plate (#0070)
72:0 = Pressure Plate =  Pressure Plate (#0072)
73:0 = Redstone Ore =  Redstone Ore (#0073)
76:0 = Redstone Torch =  Redstone Torch (#0076)
77:0 = Button =  Button (#0077)
78:0 = Snow =  Snow (#0078/0)
79:0 = Ice =  Ice (#0079/0)
79:1 = Ice (Unmelting) =  Ice (Unmelting) (#0079/1)
80:0 = Snow =  Snow (#0080)
81:0 = Cactus =  Cactus (#0081)
82:0 = Clay =  Clay (#0082)
84:0 = Jukebox =  Jukebox (#0084)
85:0 = Fence =  Fence (#0085)
86:0 = Pumpkin =  Pumpkin (#0086)
87:0 = Netherrack =  Netherrack (#0087)
88:0 = Soul Sand =  Soul Sand (#0088)
89:0 = Glowstone =  Glowstone (#0089)
91:0 = Jack 'o' Lantern =  Jack 'o' Lantern (#0091)
96:0 = Trapdoor =  Trapdoor (#0096)
97:0 = Stone Monster Egg =  Stone Monster Egg (#0097/0)
97:1 = Cobblestone Monster Egg =  Cobblestone Monster Egg (#0097/1)
97:2 = Stone Brick Monster Egg =  Stone Brick Monster Egg (#0097/2)
98:0 = Stone Bricks =  Stone Bricks (#0098/0)
98:1 = Mossy Stone Bricks =  Mossy Stone Bricks (#0098/1)
98:2 = Cracked Stone Bricks =  Cracked Stone Bricks (#0098/2)
98:3 = Chiseled Stone Bricks =  Chiseled Stone Bricks (#0098/3)
101:0 = Iron Bars =  Iron Bars (#0101)
102:0 = Glass Pane =  Glass Pane (#0102)
103:0 = Melon =  Melon (#0103)
106:0 = Vines =  Vines (#0106)
107:0 = Fence Gate =  Fence Gate (#0107)
108:0 = Brick Stairs =  Brick Stairs (#0108)
109:0 = Stone Brick Stairs =  Stone Brick Stairs (#0109)
110:0 = Mycelium =  Mycelium (#0110)
111:0 = Lily Pad =  Lily Pad (#0111)
112:0 = Nether Brick =  Nether Brick (#0112)
113:0 = Nether Brick Fence =  Nether Brick Fence (#0113)
114:0 = Nether Brick Stairs =  Nether Brick Stairs (#0114)
116:0 = Enchantment Table =  Enchantment Table (#0116)
120:0 = End Portal =  End Portal (#0120)
121:0 = End Stone =  End Stone (#0121)
123:0 = Redstone Lamp =  Redstone Lamp (#0123)
126:0 = Oak Wood Slab =  Oak Wood Slab (#0126/0)
126:1 = Spruce Wood Slab =  Spruce Wood Slab (#0126/1)
126:2 = Birch Wood Slab =  Birch Wood Slab (#0126/2)
126:3 = Jungle Wood Slab =  Jungle Wood Slab (#0126/3)
128:0 = Sandstone Stairs =  Sandstone Stairs (#0128)
129:0 = Emerald Ore =  Emerald Ore (#0129)
130:0 = Ender Chest =  Ender Chest (#0130)
131:0 = Tripwire Hook =  Tripwire Hook (#0131)
133:0 = Block of Emerald =  Block of Emerald (#0133)
134:0 = Spruce Wood Stairs =  Spruce Wood Stairs (#0134)
135:0 = Birch Wood Stairs =  Birch Wood Stairs (#0135)
136:0 = Jungle Wood Stairs =  Jungle Wood Stairs (#0136)
138:0 = Beacon =  Beacon (#0138)
139:0 = Cobblestone Wall =  Cobblestone Wall (#0139/0)
139:1 = Mossy Cobblestone Wall =  Mossy Cobblestone Wall (#0139/1)
143:0 = Button =  Button (#0143)
145:0 = Anvil =  Anvil (#0145/0)
145:1 = Slightly Damaged Anvil =  Slightly Damaged Anvil (#0145/1)
145:2 = Very Damaged Anvil =  Very Damaged Anvil (#0145/2)
146:0 = Trapped Chest =  Trapped Chest (#0146)
147:0 = Weighted Pressure Plate (Light) =  Weighted Pressure Plate (Light) (#0147)
148:0 = Weighted Pressure Plate (Heavy) =  Weighted Pressure Plate (Heavy) (#0148)
151:0 = Daylight Sensor =  Daylight Sensor (#0151)
152:0 = Block of Redstone =  Block of Redstone (#0152)
153:0 = Nether Quartz Ore =  Nether Quartz Ore (#0153)
154:0 = Hopper =  Hopper (#0154)
155:0 = Block of Quartz =  Block of Quartz (#0155/0)
155:1 = Chiseled Quartz Block =  Chiseled Quartz Block (#0155/1)
155:2 = Pillar Quartz Block =  Pillar Quartz Block (#0155/2)
156:0 = Quartz Stairs =  Quartz Stairs (#0156)
157:0 = Activator Track =  Activator Track (#0157)
158:0 = Dropper =  Dropper (#0158)
169:0 = Tainted Soil =  Tainted Soil (#0169)
169:1 = Tainted Soil =  Tainted Soil (#0169)
169:2 = Tainted Soil =  Tainted Soil (#0169)
170:0 = Heat Sand =  Heat Sand (#0170)
194:0 = Advanced Solar Panel =  Advanced Solar Panel (#0194/0)
194:1 = Hybrid Solar Panel =  Hybrid Solar Panel (#0194/1)
194:2 = Ultimate Hybrid Solar Panel =  Ultimate Hybrid Solar Panel (#0194/2)
194:3 = Quantum Generator =  Quantum Generator (#0194/3)
216:0 = Iron Scaffold =  Iron Scaffold (#0216)
218:0 = Crop =  Crop (#0218)
219:0 = Luminator =  Luminator (#0219)
220:0 = Scaffold =  Scaffold (#0220)
222:0 = Construction Foam =  Construction Foam (#0222)
223:0 = Teleporter =  Teleporter (#0223/0)
223:1 = Tesla Coil =  Tesla Coil (#0223/1)
223:2 = Crop-Matron =  Crop-Matron (#0223/2)
224:0 = Copper Block =  Copper Block (#0224/0)
224:1 = Tin Block =  Tin Block (#0224/1)
224:2 = Bronze Block =  Bronze Block (#0224/2)
224:3 = Uranium Block =  Uranium Block (#0224/3)
225:0 = Personal Safe =  Personal Safe (#0225/0)
225:1 = Trade-O-Mat =  Trade-O-Mat (#0225/1)
225:2 = Energy-O-Mat =  Energy-O-Mat (#0225/2)
227:0 = BatBox =  BatBox (#0227/0)
227:1 = MFE =  MFE (#0227/1)
227:2 = MFSU =  MFSU (#0227/2)
227:3 = LV-Transformer =  LV-Transformer (#0227/3)
227:4 = MV-Transformer =  MV-Transformer (#0227/4)
227:5 = HV-Transformer =  HV-Transformer (#0227/5)
230:0 = Reinforced Glass =  Reinforced Glass (#0230)
231:0 = Reinforced Stone =  Reinforced Stone (#0231)
232:0 = Iron Fence =  Iron Fence (#0232)
233:0 = Reactor Chamber =  Reactor Chamber (#0233)
234:0 = Rubber Sheet =  Rubber Sheet (#0234)
237:0 = Nuke =  Nuke (#0237)
239:0 = Industrial TNT =  Industrial TNT (#0239)
241:0 = Rubber Tree Sapling =  Rubber Tree Sapling (#0241)
242:0 = Rubber Tree Leaves =  Rubber Tree Leaves (#0242)
243:0 = Rubber Wood =  Rubber Wood (#0243)
245:0 = Mining Pipe =  Mining Pipe (#0245)
246:0 = Generator =  Generator (#0246/0)
246:1 = Geothermal Generator =  Geothermal Generator (#0246/1)
246:2 = Water Mill =  Water Mill (#0246/2)
246:3 = Solar Panel =  Solar Panel (#0246/3)
246:4 = Wind Mill =  Wind Mill (#0246/4)
246:5 = Nuclear Reactor =  Nuclear Reactor (#0246/5)
247:0 = Uranium Ore =  Uranium Ore (#0247)
250:0 = Machine Block =  Machine Block (#0250/0)
250:1 = Iron Furnace =  Iron Furnace (#0250/1)
250:2 = Electric Furnace =  Electric Furnace (#0250/2)
250:3 = Macerator =  Macerator (#0250/3)
250:4 = Extractor =  Extractor (#0250/4)
250:5 = Compressor =  Compressor (#0250/5)
250:6 = Canning Machine =  Canning Machine (#0250/6)
250:7 = Miner =  Miner (#0250/7)
250:8 = Pump =  Pump (#0250/8)
250:9 = Magnetizer =  Magnetizer (#0250/9)
250:10 = Electrolyzer =  Electrolyzer (#0250/10)
250:11 = Recycler =  Recycler (#0250/11)
250:12 = Advanced Machine Block =  Advanced Machine Block (#0250/12)
250:13 = Induction Furnace =  Induction Furnace (#0250/13)
250:14 = Mass Fabricator =  Mass Fabricator (#0250/14)
250:15 = Terraformer =  Terraformer (#0250/15)
252:0 = Ender Chest =  Ender Chest (#0252/0)
252:4096 = Ender Tank =  Ender Tank (#0252/4096)
256:0 = Iron Shovel =  Iron Shovel (#0256)
257:0 = Iron Pickaxe =  Iron Pickaxe (#0257)
258:0 = Iron Axe =  Iron Axe (#0258)
259:0 = Flint and Steel =  Flint and Steel (#0259)
260:0 = Apple =  Apple (#0260)
261:0 = Bow =  Bow (#0261)
262:0 = Arrow =  Arrow (#0262)
263:0 = Coal =  Coal (#0263/0)
263:1 = Charcoal =  Charcoal (#0263/1)
264:0 = Diamond =  Diamond (#0264)
265:0 = Iron Ingot =  Iron Ingot (#0265)
266:0 = Gold Ingot =  Gold Ingot (#0266)
267:0 = Iron Sword =  Iron Sword (#0267)
268:0 = Wooden Sword =  Wooden Sword (#0268)
269:0 = Wooden Shovel =  Wooden Shovel (#0269)
270:0 = Wooden Pickaxe =  Wooden Pickaxe (#0270)
271:0 = Wooden Axe =  Wooden Axe (#0271)
272:0 = Stone Sword =  Stone Sword (#0272)
273:0 = Stone Shovel =  Stone Shovel (#0273)
274:0 = Stone Pickaxe =  Stone Pickaxe (#0274)
275:0 = Stone Axe =  Stone Axe (#0275)
276:0 = Diamond Sword =  Diamond Sword (#0276)
277:0 = Diamond Shovel =  Diamond Shovel (#0277)
278:0 = Diamond Pickaxe =  Diamond Pickaxe (#0278)
279:0 = Diamond Axe =  Diamond Axe (#0279)
280:0 = Stick =  Stick (#0280)
281:0 = Bowl =  Bowl (#0281)
282:0 = Mushroom Stew =  Mushroom Stew (#0282)
283:0 = Golden Sword =  Golden Sword (#0283)
284:0 = Golden Shovel =  Golden Shovel (#0284)
285:0 = Golden Pickaxe =  Golden Pickaxe (#0285)
286:0 = Golden Axe =  Golden Axe (#0286)
287:0 = String =  String (#0287)
288:0 = Feather =  Feather (#0288)
289:0 = Gunpowder =  Gunpowder (#0289)
290:0 = Wooden Hoe =  Wooden Hoe (#0290)
291:0 = Stone Hoe =  Stone Hoe (#0291)
292:0 = Iron Hoe =  Iron Hoe (#0292)
293:0 = Diamond Hoe =  Diamond Hoe (#0293)
294:0 = Golden Hoe =  Golden Hoe (#0294)
295:0 = Seeds =  Seeds (#0295)
296:0 = Wheat =  Wheat (#0296)
297:0 = Bread =  Bread (#0297)
298:0 = Leather Cap =  Leather Cap (#0298)
299:0 = Leather Tunic =  Leather Tunic (#0299)
300:0 = Leather Pants =  Leather Pants (#0300)
301:0 = Leather Boots =  Leather Boots (#0301)
302:0 = Chain Helmet =  Chain Helmet (#0302)
303:0 = Chain Chestplate =  Chain Chestplate (#0303)
304:0 = Chain Leggings =  Chain Leggings (#0304)
305:0 = Chain Boots =  Chain Boots (#0305)
306:0 = Iron Helmet =  Iron Helmet (#0306)
307:0 = Iron Chestplate =  Iron Chestplate (#0307)
308:0 = Iron Leggings =  Iron Leggings (#0308)
309:0 = Iron Boots =  Iron Boots (#0309)
310:0 = Diamond Helmet =  Diamond Helmet (#0310)
311:0 = Diamond Chestplate =  Diamond Chestplate (#0311)
312:0 = Diamond Leggings =  Diamond Leggings (#0312)
313:0 = Diamond Boots =  Diamond Boots (#0313)
314:0 = Golden Helmet =  Golden Helmet (#0314)
315:0 = Golden Chestplate =  Golden Chestplate (#0315)
316:0 = Golden Leggings =  Golden Leggings (#0316)
317:0 = Golden Boots =  Golden Boots (#0317)
318:0 = Flint =  Flint (#0318)
319:0 = Raw Porkchop =  Raw Porkchop (#0319)
320:0 = Cooked Porkchop =  Cooked Porkchop (#0320)
321:0 = Painting =  Painting (#0321)
322:0 = Golden Apple =  Golden Apple (#0322/0)
322:1 = Golden Apple =  Golden Apple (#0322/1)
323:0 = Sign =  Sign (#0323)
324:0 = Wooden Door =  Wooden Door (#0324)
325:0 = Bucket =  Bucket (#0325)
326:0 = Water Bucket =  Water Bucket (#0326)
327:0 = Lava Bucket =  Lava Bucket (#0327)
328:0 = Minecart =  Minecart (#0328/0)
329:0 = Saddle =  Saddle (#0329)
330:0 = Iron Door =  Iron Door (#0330)
331:0 = Redstone =  Redstone (#0331)
332:0 = Snowball =  Snowball (#0332)
333:0 = Boat =  Boat (#0333)
334:0 = Leather =  Leather (#0334)
335:0 = Milk Bucket =  Milk Bucket (#0335)
336:0 = Brick =  Brick (#0336)
337:0 = Clay =  Clay (#0337)
338:0 = Sugar Canes =  Sugar Canes (#0338)
339:0 = Paper =  Paper (#0339)
340:0 = Book =  Book (#0340)
341:0 = Slimeball =  Slimeball (#0341)
342:0 = Chest Cart =  Chest Cart (#0342/0)
343:0 = Furnace Cart =  Furnace Cart (#0343/0)
344:0 = Egg =  Egg (#0344)
345:0 = Compass =  Compass (#0345)
346:0 = Fishing Rod =  Fishing Rod (#0346)
347:0 = Clock =  Clock (#0347)
348:0 = Glowstone Dust =  Glowstone Dust (#0348)
349:0 = Raw Fish =  Raw Fish (#0349)
350:0 = Cooked Fish =  Cooked Fish (#0350)
351:0 = Ink Sac =  Ink Sac (#0351/0)
351:1 = Rose Red =  Rose Red (#0351/1)
351:2 = Cactus Green =  Cactus Green (#0351/2)
351:3 = Cocoa Beans =  Cocoa Beans (#0351/3)
351:4 = Lapis Lazuli =  Lapis Lazuli (#0351/4)
351:5 = Purple Dye =  Purple Dye (#0351/5)
351:6 = Cyan Dye =  Cyan Dye (#0351/6)
351:7 = Light Gray Dye =  Light Gray Dye (#0351/7)
351:8 = Gray Dye =  Gray Dye (#0351/8)
351:9 = Pink Dye =  Pink Dye (#0351/9)
351:10 = Lime Dye =  Lime Dye (#0351/10)
351:11 = Dandelion Yellow =  Dandelion Yellow (#0351/11)
351:12 = Light Blue Dye =  Light Blue Dye (#0351/12)
351:13 = Magenta Dye =  Magenta Dye (#0351/13)
351:14 = Orange Dye =  Orange Dye (#0351/14)
351:15 = Bone Meal =  Bone Meal (#0351/15)
352:0 = Bone =  Bone (#0352)
353:0 = Sugar =  Sugar (#0353)
354:0 = Cake =  Cake (#0354)
355:0 = Bed =  Bed (#0355)
356:0 = Redstone Repeater =  Redstone Repeater (#0356)
357:0 = Cookie =  Cookie (#0357)
359:0 = Shears =  Shears (#0359)
360:0 = Melon =  Melon (#0360)
361:0 = Pumpkin Seeds =  Pumpkin Seeds (#0361)
362:0 = Melon Seeds =  Melon Seeds (#0362)
363:0 = Raw Beef =  Raw Beef (#0363)
364:0 = Steak =  Steak (#0364)
365:0 = Raw Chicken =  Raw Chicken (#0365)
366:0 = Cooked Chicken =  Cooked Chicken (#0366)
367:0 = Rotten Flesh =  Rotten Flesh (#0367)
368:0 = Ender Pearl =  Ender Pearl (#0368)
369:0 = Blaze Rod =  Blaze Rod (#0369)
370:0 = Ghast Tear =  Ghast Tear (#0370)
371:0 = Gold Nugget =  Gold Nugget (#0371)
372:0 = Nether Wart =  Nether Wart (#0372)
373:0 = Water Bottle =  Water Bottle (#0373/0)
373:8193 = Potion of Regeneration =  Potion of Regeneration (#0373/8193) Â§7Regeneration (0:45)
373:8225 = Potion of Regeneration =  Potion of Regeneration (#0373/8225) Â§7Regeneration II (0:22)
373:8257 = Potion of Regeneration =  Potion of Regeneration (#0373/8257) Â§7Regeneration (2:00)
373:16385 = Splash Potion of Regeneration =  Splash Potion of Regeneration (#0373/16385) Â§7Regeneration (0:33)
373:16417 = Splash Potion of Regeneration =  Splash Potion of Regeneration (#0373/16417) Â§7Regeneration II (0:16)
373:16449 = Splash Potion of Regeneration =  Splash Potion of Regeneration (#0373/16449) Â§7Regeneration (1:30)
373:8194 = Potion of Swiftness =  Potion of Swiftness (#0373/8194) Â§7Speed (3:00)
373:8226 = Potion of Swiftness =  Potion of Swiftness (#0373/8226) Â§7Speed II (1:30)
373:8258 = Potion of Swiftness =  Potion of Swiftness (#0373/8258) Â§7Speed (8:00)
373:16386 = Splash Potion of Swiftness =  Splash Potion of Swiftness (#0373/16386) Â§7Speed (2:15)
373:16418 = Splash Potion of Swiftness =  Splash Potion of Swiftness (#0373/16418) Â§7Speed II (1:07)
373:16450 = Splash Potion of Swiftness =  Splash Potion of Swiftness (#0373/16450) Â§7Speed (6:00)
373:8227 = Potion of Fire Resistance =  Potion of Fire Resistance (#0373/8227) Â§7Fire Resistance (3:00)
373:8259 = Potion of Fire Resistance =  Potion of Fire Resistance (#0373/8259) Â§7Fire Resistance (8:00)
373:16419 = Splash Potion of Fire Resistance =  Splash Potion of Fire Resistance (#0373/16419) Â§7Fire Resistance (2:15)
373:16451 = Splash Potion of Fire Resistance =  Splash Potion of Fire Resistance (#0373/16451) Â§7Fire Resistance (6:00)
373:8196 = Potion of Poison =  Potion of Poison (#0373/8196) Â§cPoison (0:45)
373:8228 = Potion of Poison =  Potion of Poison (#0373/8228) Â§cPoison II (0:22)
373:8260 = Potion of Poison =  Potion of Poison (#0373/8260) Â§cPoison (2:00)
373:16388 = Splash Potion of Poison =  Splash Potion of Poison (#0373/16388) Â§cPoison (0:33)
373:16420 = Splash Potion of Poison =  Splash Potion of Poison (#0373/16420) Â§cPoison II (0:16)
373:16452 = Splash Potion of Poison =  Splash Potion of Poison (#0373/16452) Â§cPoison (1:30)
373:8261 = Potion of Healing =  Potion of Healing (#0373/8261) Â§7Instant Health
373:8229 = Potion of Healing =  Potion of Healing (#0373/8229) Â§7Instant Health II
373:16453 = Splash Potion of Healing =  Splash Potion of Healing (#0373/16453) Â§7Instant Health
373:16421 = Splash Potion of Healing =  Splash Potion of Healing (#0373/16421) Â§7Instant Health II
373:8230 = Potion of Night Vision =  Potion of Night Vision (#0373/8230) Â§7Night Vision (3:00)
373:8262 = Potion of Night Vision =  Potion of Night Vision (#0373/8262) Â§7Night Vision (8:00)
373:16422 = Splash Potion of Night Vision =  Splash Potion of Night Vision (#0373/16422) Â§7Night Vision (2:15)
373:16454 = Splash Potion of Night Vision =  Splash Potion of Night Vision (#0373/16454) Â§7Night Vision (6:00)
373:8232 = Potion of Weakness =  Potion of Weakness (#0373/8232) Â§cWeakness (1:30)
373:8264 = Potion of Weakness =  Potion of Weakness (#0373/8264) Â§cWeakness (4:00)
373:16424 = Splash Potion of Weakness =  Splash Potion of Weakness (#0373/16424) Â§cWeakness (1:07)
373:16456 = Splash Potion of Weakness =  Splash Potion of Weakness (#0373/16456) Â§cWeakness (3:00)
373:8201 = Potion of Strength =  Potion of Strength (#0373/8201) Â§7Strength (3:00)
373:8233 = Potion of Strength =  Potion of Strength (#0373/8233) Â§7Strength II (1:30)
373:8265 = Potion of Strength =  Potion of Strength (#0373/8265) Â§7Strength (8:00)
373:16393 = Splash Potion of Strength =  Splash Potion of Strength (#0373/16393) Â§7Strength (2:15)
373:16425 = Splash Potion of Strength =  Splash Potion of Strength (#0373/16425) Â§7Strength II (1:07)
373:16457 = Splash Potion of Strength =  Splash Potion of Strength (#0373/16457) Â§7Strength (6:00)
373:8234 = Potion of Slowness =  Potion of Slowness (#0373/8234) Â§cSlowness (1:30)
373:8266 = Potion of Slowness =  Potion of Slowness (#0373/8266) Â§cSlowness (4:00)
373:16426 = Splash Potion of Slowness =  Splash Potion of Slowness (#0373/16426) Â§cSlowness (1:07)
373:16458 = Splash Potion of Slowness =  Splash Potion of Slowness (#0373/16458) Â§cSlowness (3:00)
373:8268 = Potion of Harming =  Potion of Harming (#0373/8268) Â§cInstant Damage
373:8236 = Potion of Harming =  Potion of Harming (#0373/8236) Â§cInstant Damage II
373:16460 = Splash Potion of Harming =  Splash Potion of Harming (#0373/16460) Â§cInstant Damage
373:16428 = Splash Potion of Harming =  Splash Potion of Harming (#0373/16428) Â§cInstant Damage II
373:8238 = Potion of Invisibility =  Potion of Invisibility (#0373/8238) Â§7Invisibility (3:00)
373:8270 = Potion of Invisibility =  Potion of Invisibility (#0373/8270) Â§7Invisibility (8:00)
373:16430 = Splash Potion of Invisibility =  Splash Potion of Invisibility (#0373/16430) Â§7Invisibility (2:15)
373:16462 = Splash Potion of Invisibility =  Splash Potion of Invisibility (#0373/16462) Â§7Invisibility (6:00)
374:0 = Glass Bottle =  Glass Bottle (#0374)
375:0 = Spider Eye =  Spider Eye (#0375)
376:0 = Fermented Spider Eye =  Fermented Spider Eye (#0376)
377:0 = Blaze Powder =  Blaze Powder (#0377)
378:0 = Magma Cream =  Magma Cream (#0378)
379:0 = Brewing Stand =  Brewing Stand (#0379)
380:0 = Cauldron =  Cauldron (#0380)
381:0 = Eye of Ender =  Eye of Ender (#0381)
382:0 = Glistering Melon =  Glistering Melon (#0382)
383:50 = Spawn Creeper =  Spawn Creeper (#0383/50)
383:51 = Spawn Skeleton =  Spawn Skeleton (#0383/51)
383:52 = Spawn Spider =  Spawn Spider (#0383/52)
383:54 = Spawn Zombie =  Spawn Zombie (#0383/54)
383:55 = Spawn Slime =  Spawn Slime (#0383/55)
383:56 = Spawn Ghast =  Spawn Ghast (#0383/56)
383:57 = Spawn Zombie Pigman =  Spawn Zombie Pigman (#0383/57)
383:58 = Spawn Enderman =  Spawn Enderman (#0383/58)
383:59 = Spawn Cave Spider =  Spawn Cave Spider (#0383/59)
383:60 = Spawn Silverfish =  Spawn Silverfish (#0383/60)
383:61 = Spawn Blaze =  Spawn Blaze (#0383/61)
383:62 = Spawn Magma Cube =  Spawn Magma Cube (#0383/62)
383:65 = Spawn Bat =  Spawn Bat (#0383/65)
383:66 = Spawn Witch =  Spawn Witch (#0383/66)
383:90 = Spawn Pig =  Spawn Pig (#0383/90)
383:91 = Spawn Sheep =  Spawn Sheep (#0383/91)
383:92 = Spawn Cow =  Spawn Cow (#0383/92)
383:93 = Spawn Chicken =  Spawn Chicken (#0383/93)
383:94 = Spawn Squid =  Spawn Squid (#0383/94)
383:95 = Spawn Wolf =  Spawn Wolf (#0383/95)
383:96 = Spawn Mooshroom =  Spawn Mooshroom (#0383/96)
383:98 = Spawn Ocelot =  Spawn Ocelot (#0383/98)
383:120 = Spawn Villager =  Spawn Villager (#0383/120)
383:27 = Spawn Angry Zombie =  Spawn Angry Zombie (#0383/27)
383:30 = Spawn Wisp =  Spawn Wisp (#0383/30)
383:31 = Spawn Firebat =  Spawn Firebat (#0383/31)
383:35 = Spawn Cold Cow =  Spawn Cold Cow (#0383/35)
383:36 = Spawn Cold Chicken =  Spawn Cold Chicken (#0383/36)
383:37 = Spawn Ender Tot =  Spawn Ender Tot (#0383/37)
384:0 = Bottle o' Enchanting =  Bottle o' Enchanting (#0384)
385:0 = Fire Charge =  Fire Charge (#0385)
386:0 = Book and Quill =  Book and Quill (#0386)
388:0 = Emerald =  Emerald (#0388)
389:0 = Item Frame =  Item Frame (#0389)
390:0 = Flower Pot =  Flower Pot (#0390)
391:0 = Carrot =  Carrot (#0391)
392:0 = Potato =  Potato (#0392)
393:0 = Baked Potato =  Baked Potato (#0393)
394:0 = Poisonous Potato =  Poisonous Potato (#0394)
395:0 = Empty Map =  Empty Map (#0395)
396:0 = Golden Carrot =  Golden Carrot (#0396)
397:0 = Skeleton Skull =  Skeleton Skull (#0397/0)
397:1 = Wither Skeleton Skull =  Wither Skeleton Skull (#0397/1)
397:2 = Zombie Head =  Zombie Head (#0397/2)
397:3 = Head =  Head (#0397/3)
397:4 = Creeper Head =  Creeper Head (#0397/4)
398:0 = Carrot on a Stick =  Carrot on a Stick (#0398)
399:0 = Nether Star =  Nether Star (#0399)
400:0 = Pumpkin Pie =  Pumpkin Pie (#0400)
402:0 = Firework Star =  Firework Star (#0402)
404:0 = Redstone Comparator =  Redstone Comparator (#0404)
405:0 = Nether Brick =  Nether Brick (#0405)
406:0 = Nether Quartz =  Nether Quartz (#0406)
407:0 = TNT Cart =  TNT Cart (#0407/0)
